fecha,cod_ine,CCAA,recovered
4/18/2020,5,Canarias,785
4/19/2020,5,Canarias,789
4/20/2020,5,Canarias,813
4/21/2020,5,Canarias,878
4/22/2020,5,Canarias,927
4/23/2020,5,Canarias,969
4/24/2020,5,Canarias,1017
4/25/2020,5,Canarias,1036
4/26/2020,5,Canarias,1047
4/27/2020,5,Canarias,1047
4/28/2020,5,Canarias,1075
4/29/2020,5,Canarias,1107
4/30/2020,5,Canarias,1131
5/1/2020,5,Canarias,1149
5/2/2020,5,Canarias,1149
5/3/2020,5,Canarias,1150
5/4/2020,5,Canarias,1166
5/5/2020,5,Canarias,1190
5/6/2020,5,Canarias,1223
5/7/2020,5,Canarias,1258
5/8/2020,5,Canarias,1318
5/9/2020,5,Canarias,1342
5/10/2020,5,Canarias,1346
5/11/2020,5,Canarias,1391
5/12/2020,5,Canarias,1456
5/13/2020,5,Canarias,1475
5/14/2020,5,Canarias,1496
5/15/2020,5,Canarias,1506
5/16/2020,5,Canarias,1524
5/17/2020,5,Canarias,1524
2/21/2020,6,Cantabria,
2/22/2020,6,Cantabria,
2/23/2020,6,Cantabria,
2/24/2020,6,Cantabria,
2/25/2020,6,Cantabria,
2/26/2020,6,Cantabria,
2/27/2020,6,Cantabria,
2/28/2020,6,Cantabria,
2/29/2020,6,Cantabria,
3/1/2020,6,Cantabria,
3/2/2020,6,Cantabria,
3/3/2020,6,Cantabria,
3/4/2020,6,Cantabria,
3/5/2020,6,Cantabria,
3/6/2020,6,Cantabria,
3/7/2020,6,Cantabria,
3/8/2020,6,Cantabria,
3/9/2020,6,Cantabria,0
3/10/2020,6,Cantabria,0
3/11/2020,6,Cantabria,0
3/12/2020,6,Cantabria,6
3/13/2020,6,Cantabria,7
3/14/2020,6,Cantabria,7
3/15/2020,6,Cantabria,10
3/16/2020,6,Cantabria,10
3/17/2020,6,Cantabria,10
3/18/2020,6,Cantabria,10
3/19/2020,6,Cantabria,10
3/20/2020,6,Cantabria,10
3/21/2020,6,Cantabria,11
3/22/2020,6,Cantabria,11
3/23/2020,6,Cantabria,11
3/24/2020,6,Cantabria,12
3/25/2020,6,Cantabria,12
3/26/2020,6,Cantabria,14
3/27/2020,6,Cantabria,19
3/28/2020,6,Cantabria,21
3/29/2020,6,Cantabria,24
3/30/2020,6,Cantabria,24
3/31/2020,6,Cantabria,35
4/1/2020,6,Cantabria,43
4/2/2020,6,Cantabria,60
4/3/2020,6,Cantabria,74
