fecha,cod_ine,CCAA,ICU
3/28/2020,5,Canarias,68
3/29/2020,5,Canarias,78
3/30/2020,5,Canarias,84
3/31/2020,5,Canarias,94
4/1/2020,5,Canarias,110
4/2/2020,5,Canarias,113
4/3/2020,5,Canarias,120
4/4/2020,5,Canarias,128
4/5/2020,5,Canarias,129
4/6/2020,5,Canarias,133
4/7/2020,5,Canarias,137
4/8/2020,5,Canarias,138
4/9/2020,5,Canarias,140
4/10/2020,5,Canarias,141
4/11/2020,5,Canarias,144
4/12/2020,5,Canarias,144
4/13/2020,5,Canarias,145
4/14/2020,5,Canarias,147
4/15/2020,5,Canarias,152
4/16/2020,5,Canarias,156
4/17/2020,5,Canarias,159
4/18/2020,5,Canarias,160
4/19/2020,5,Canarias,162
4/20/2020,5,Canarias,163
4/21/2020,5,Canarias,164
4/22/2020,5,Canarias,164
4/23/2020,5,Canarias,169
4/24/2020,5,Canarias,169
4/25/2020,5,Canarias,171
4/26/2020,5,Canarias,171
4/27/2020,5,Canarias,171
4/28/2020,5,Canarias,174
4/29/2020,5,Canarias,175
4/30/2020,5,Canarias,175
5/1/2020,5,Canarias,175
5/2/2020,5,Canarias,175
5/3/2020,5,Canarias,175
5/4/2020,5,Canarias,175
5/5/2020,5,Canarias,176
5/6/2020,5,Canarias,176
5/7/2020,5,Canarias,176
5/8/2020,5,Canarias,176
5/9/2020,5,Canarias,178
5/10/2020,5,Canarias,178
5/11/2020,5,Canarias,178
5/12/2020,5,Canarias,178
5/13/2020,5,Canarias,178
5/14/2020,5,Canarias,178
5/15/2020,5,Canarias,178
5/16/2020,5,Canarias,178
5/17/2020,5,Canarias,178
2/21/2020,6,Cantabria,
2/22/2020,6,Cantabria,
2/23/2020,6,Cantabria,
2/24/2020,6,Cantabria,
2/25/2020,6,Cantabria,
2/26/2020,6,Cantabria,
2/27/2020,6,Cantabria,
2/28/2020,6,Cantabria,
2/29/2020,6,Cantabria,
3/1/2020,6,Cantabria,
3/2/2020,6,Cantabria,
3/3/2020,6,Cantabria,
3/4/2020,6,Cantabria,
3/5/2020,6,Cantabria,
3/6/2020,6,Cantabria,
3/7/2020,6,Cantabria,
3/8/2020,6,Cantabria,
3/9/2020,6,Cantabria,0
3/10/2020,6,Cantabria,0
3/11/2020,6,Cantabria,0
3/12/2020,6,Cantabria,0
3/13/2020,6,Cantabria,0
3/14/2020,6,Cantabria,0
3/15/2020,6,Cantabria,0
3/16/2020,6,Cantabria,2
3/17/2020,6,Cantabria,2
3/18/2020,6,Cantabria,3
3/19/2020,6,Cantabria,4
3/20/2020,6,Cantabria,7
3/21/2020,6,Cantabria,9
3/22/2020,6,Cantabria,9
3/23/2020,6,Cantabria,14
3/24/2020,6,Cantabria,16
3/25/2020,6,Cantabria,18
3/26/2020,6,Cantabria,26
3/27/2020,6,Cantabria,29
3/28/2020,6,Cantabria,37
3/29/2020,6,Cantabria,40
3/30/2020,6,Cantabria,46
3/31/2020,6,Cantabria,50
4/1/2020,6,Cantabria,54
4/2/2020,6,Cantabria,57
4/3/2020,6,Cantabria,59
4/4/2020,6,Cantabria,60
4/5/2020,6,Cantabria,62
4/6/2020,6,Cantabria,65
4/7/2020,6,Cantabria,66
4/8/2020,6,Cantabria,69
4/9/2020,6,Cantabria,71
4/10/2020,6,Cantabria,73
4/11/2020,6,Cantabria,75
4/12/2020,6,Cantabria,75
4/13/2020,6,Cantabria,75
4/14/2020,6,Cantabria,76
4/15/2020,6,Cantabria,76
4/16/2020,6,Cantabria,77
4/17/2020,6,Cantabria,78
4/18/2020,6,Cantabria,78
4/19/2020,6,Cantabria,78
4/20/2020,6,Cantabria,78
4/21/2020,6,Cantabria,78
4/22/2020,6,Cantabria,78
4/23/2020,6,Cantabria,78
4/24/2020,6,Cantabria,78
4/25/2020,6,Cantabria,78
4/26/2020,6,Cantabria,78
4/27/2020,6,Cantabria,78
4/28/2020,6,Cantabria,78
4/29/2020,6,Cantabria,79
4/30/2020,6,Cantabria,79
5/1/2020,6,Cantabria,79
5/2/2020,6,Cantabria,79
5/3/2020,6,Cantabria,79
5/4/2020,6,Cantabria,79
5/5/2020,6,Cantabria,79
5/6/2020,6,Cantabria,79
5/7/2020,6,Cantabria,79
5/8/2020,6,Cantabria,79
5/9/2020,6,Cantabria,79
5/10/2020,6,Cantabria,79
5/11/2020,6,Cantabria,79
5/12/2020,6,Cantabria,79
5/13/2020,6,Cantabria,79
5/14/2020,6,Cantabria,79
5/15/2020,6,Cantabria,79
5/16/2020,6,Cantabria,79
5/17/2020,6,Cantabria,79
2/21/2020,8,Castilla La Mancha,
2/22/2020,8,Castilla La Mancha,
2/23/2020,8,Castilla La Mancha,
2/24/2020,8,Castilla La Mancha,
2/25/2020,8,Castilla La Mancha,
2/26/2020,8,Castilla La Mancha,
2/27/2020,8,Castilla La Mancha,
2/28/2020,8,Castilla La Mancha,
2/29/2020,8,Castilla La Mancha,
3/1/2020,8,Castilla La Mancha,
3/2/2020,8,Castilla La Mancha,
3/3/2020,8,Castilla La Mancha,
3/4/2020,8,Castilla La Mancha,
3/5/2020,8,Castilla La Mancha,
3/6/2020,8,Castilla La Mancha,
3/7/2020,8,Castilla La Mancha,
3/8/2020,8,Castilla La Mancha,
3/9/2020,8,Castilla La Mancha,2
3/10/2020,8,Castilla La Mancha,3
3/11/2020,8,Castilla La Mancha,5
3/12/2020,8,Castilla La Mancha,9
3/13/2020,8,Castilla La Mancha,10
3/14/2020,8,Castilla La Mancha,10
3/15/2020,8,Castilla La Mancha,10
3/16/2020,8,Castilla La Mancha,23
3/17/2020,8,Castilla La Mancha,23
3/18/2020,8,Castilla La Mancha,29
3/19/2020,8,Castilla La Mancha,37
3/20/2020,8,Castilla La Mancha,37
3/21/2020,8,Castilla La Mancha,65
3/22/2020,8,Castilla La Mancha,76
3/23/2020,8,Castilla La Mancha,142
3/24/2020,8,Castilla La Mancha,182
3/25/2020,8,Castilla La Mancha,210
3/26/2020,8,Castilla La Mancha,243
3/27/2020,8,Castilla La Mancha,273
3/28/2020,8,Castilla La Mancha,289
3/29/2020,8,Castilla La Mancha,299
3/30/2020,8,Castilla La Mancha,302
3/31/2020,8,Castilla La Mancha,344
4/1/2020,8,Castilla La Mancha,353
4/2/2020,8,Castilla La Mancha,355
4/3/2020,8,Castilla La Mancha,355
4/4/2020,8,Castilla La Mancha,360
4/5/2020,8,Castilla La Mancha,357
4/6/2020,8,Castilla La Mancha,354
4/7/2020,8,Castilla La Mancha,360
4/8/2020,8,Castilla La Mancha,354
4/9/2020,8,Castilla La Mancha,342
4/10/2020,8,Castilla La Mancha,329
4/11/2020,8,Castilla La Mancha,316
4/12/2020,8,Castilla La Mancha,316
4/13/2020,8,Castilla La Mancha,475
4/14/2020,8,Castilla La Mancha,486
4/15/2020,8,Castilla La Mancha,495
4/16/2020,8,Castilla La Mancha,503
4/17/2020,8,Castilla La Mancha,511
4/18/2020,8,Castilla La Mancha,514
4/19/2020,8,Castilla La Mancha,518
4/20/2020,8,Castilla La Mancha,531
4/21/2020,8,Castilla La Mancha,534
4/22/2020,8,Castilla La Mancha,537
4/23/2020,8,Castilla La Mancha,546
4/24/2020,8,Castilla La Mancha,553
4/25/2020,8,Castilla La Mancha,559
4/26/2020,8,Castilla La Mancha,565
4/27/2020,8,Castilla La Mancha,579
4/28/2020,8,Castilla La Mancha,584
4/29/2020,8,Castilla La Mancha,588
4/30/2020,8,Castilla La Mancha,592
5/1/2020,8,Castilla La Mancha,596
5/2/2020,8,Castilla La Mancha,601
5/3/2020,8,Castilla La Mancha,604
5/4/2020,8,Castilla La Mancha,606
5/5/2020,8,Castilla La Mancha,609
5/6/2020,8,Castilla La Mancha,612
5/7/2020,8,Castilla La Mancha,613
5/8/2020,8,Castilla La Mancha,617
5/9/2020,8,Castilla La Mancha,621
5/10/2020,8,Castilla La Mancha,623
5/11/2020,8,Castilla La Mancha,624
5/12/2020,8,Castilla La Mancha,629
5/13/2020,8,Castilla La Mancha,632
5/14/2020,8,Castilla La Mancha,634
5/15/2020,8,Castilla La Mancha,635
5/16/2020,8,Castilla La Mancha,636
5/17/2020,8,Castilla La Mancha,637
2/21/2020,7,Castilla y León,
2/22/2020,7,Castilla y León,
2/23/2020,7,Castilla y León,
2/24/2020,7,Castilla y León,
2/25/2020,7,Castilla y León,
2/26/2020,7,Castilla y León,
2/27/2020,7,Castilla y León,
2/28/2020,7,Castilla y León,
2/29/2020,7,Castilla y León,
3/1/2020,7,Castilla y León,
3/2/2020,7,Castilla y León,
3/3/2020,7,Castilla y León,
3/4/2020,7,Castilla y León,
3/5/2020,7,Castilla y León,
3/6/2020,7,Castilla y León,
3/7/2020,7,Castilla y León,
3/8/2020,7,Castilla y León,
3/9/2020,7,Castilla y León,2
3/10/2020,7,Castilla y León,2
3/11/2020,7,Castilla y León,5
3/12/2020,7,Castilla y León,7
3/13/2020,7,Castilla y León,8
3/14/2020,7,Castilla y León,15
3/15/2020,7,Castilla y León,22
3/16/2020,7,Castilla y León,29
3/17/2020,7,Castilla y León,36
3/18/2020,7,Castilla y León,50
3/19/2020,7,Castilla y León,63
3/20/2020,7,Castilla y León,75
3/21/2020,7,Castilla y León,96
3/22/2020,7,Castilla y León,111
3/23/2020,7,Castilla y León,130
3/24/2020,7,Castilla y León,151
3/25/2020,7,Castilla y León,179
3/26/2020,7,Castilla y León,198
3/27/2020,7,Castilla y León,215
3/28/2020,7,Castilla y León,238
3/29/2020,7,Castilla y León,261
3/30/2020,7,Castilla y León,272
3/31/2020,7,Castilla y León,294
4/1/2020,7,Castilla y León,318
4/2/2020,7,Castilla y León,332
4/3/2020,7,Castilla y León,342
4/4/2020,7,Castilla y León,351
4/5/2020,7,Castilla y León,361
4/6/2020,7,Castilla y León,368
4/7/2020,7,Castilla y León,375
4/8/2020,7,Castilla y León,386
4/9/2020,7,Castilla y León,399
4/10/2020,7,Castilla y León,407
4/11/2020,7,Castilla y León,414
4/12/2020,7,Castilla y León,418
4/13/2020,7,Castilla y León,423
4/14/2020,7,Castilla y León,432
4/15/2020,7,Castilla y León,440
4/16/2020,7,Castilla y León,445
4/17/2020,7,Castilla y León,449
4/18/2020,7,Castilla y León,495
4/19/2020,7,Castilla y León,498
4/20/2020,7,Castilla y León,501
4/21/2020,7,Castilla y León,503
4/22/2020,7,Castilla y León,505
4/23/2020,7,Castilla y León,508
4/24/2020,7,Castilla y León,510
4/25/2020,7,Castilla y León,511
4/26/2020,7,Castilla y León,515
4/27/2020,7,Castilla y León,518
4/28/2020,7,Castilla y León,522
4/29/2020,7,Castilla y León,524
4/30/2020,7,Castilla y León,528
5/1/2020,7,Castilla y León,531
5/2/2020,7,Castilla y León,531
5/3/2020,7,Castilla y León,533
5/4/2020,7,Castilla y León,534
5/5/2020,7,Castilla y León,537
5/6/2020,7,Castilla y León,538
5/7/2020,7,Castilla y León,541
5/8/2020,7,Castilla y León,543
5/9/2020,7,Castilla y León,546
5/10/2020,7,Castilla y León,546
5/11/2020,7,Castilla y León,547
5/12/2020,7,Castilla y León,547
5/13/2020,7,Castilla y León,547
5/14/2020,7,Castilla y León,548
5/15/2020,7,Castilla y León,548
5/16/2020,7,Castilla y León,549
5/17/2020,7,Castilla y León,550
2/21/2020,9,Cataluña,
2/22/2020,9,Cataluña,
2/23/2020,9,Cataluña,
2/24/2020,9,Cataluña,
2/25/2020,9,Cataluña,
2/26/2020,9,Cataluña,
2/27/2020,9,Cataluña,
2/28/2020,9,Cataluña,
2/29/2020,9,Cataluña,
3/1/2020,9,Cataluña,
3/2/2020,9,Cataluña,
3/3/2020,9,Cataluña,
3/4/2020,9,Cataluña,
3/5/2020,9,Cataluña,
3/6/2020,9,Cataluña,
3/7/2020,9,Cataluña,
3/8/2020,9,Cataluña,
3/9/2020,9,Cataluña,5
3/10/2020,9,Cataluña,7
3/11/2020,9,Cataluña,8
3/12/2020,9,Cataluña,16
3/13/2020,9,Cataluña,22
3/14/2020,9,Cataluña,29
3/15/2020,9,Cataluña,40
3/16/2020,9,Cataluña,52
3/17/2020,9,Cataluña,73
3/18/2020,9,Cataluña,101
3/19/2020,9,Cataluña,118
3/20/2020,9,Cataluña,175
3/21/2020,9,Cataluña,271
3/22/2020,9,Cataluña,290
3/23/2020,9,Cataluña,308
3/24/2020,9,Cataluña,471
3/25/2020,9,Cataluña,713
3/26/2020,9,Cataluña,764
3/27/2020,9,Cataluña,972
3/28/2020,9,Cataluña,1036
3/29/2020,9,Cataluña,1080
3/30/2020,9,Cataluña,1150
3/31/2020,9,Cataluña,1218
4/1/2020,9,Cataluña,1345
